player_id,name,nickname,country,dob,style,player_elo,total_games,win_rate,avg_points_scored,avg_points_allowed,avg_points_diff,longest_winning_streak,longest_losing_streak,fastest_ball_speed,avg_aces,tournaments_won,tournaments_runner_up
1,Liam O'Connor,The Rocket,IE,1995-03-15,Right Hand,2302.549412126886,80,0.5125,9.64,9.68,-0.04,5,7,154.7,1.45,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 1}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 1, 'Dominion Open': 0}"
2,Sofia Martinez,Flash,ES,1990-07-22,Left Hand,2233.505332552946,93,0.5161290322580645,9.86,9.83,0.03,5,10,158.6,1.49,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 1, 'Dominion Open': 0}","{'Sovereign Cup': 1, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 1}"
3,Haruto Tanaka,The Ninja,JP,1992-11-05,Right Hand,2257.7223812884317,54,0.42592592592592593,8.89,9.94,-1.05,6,9,153.2,1.41,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 1}"
4,Chloe Smith,The Whiz,US,1999-02-28,Right Hand,2195.416708089576,75,0.4666666666666667,9.69,9.84,-0.15,5,8,154.5,1.92,"{'Sovereign Cup': 1, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}"
5,Mateusz Kowalski,The Beast,PL,1988-05-14,Right Hand,2210.5538264854167,71,0.43661971830985913,9.58,9.61,-0.03,5,11,158.8,1.54,"{'Sovereign Cup': 1, 'Grand Invitational': 0, 'World Championship': 1, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}"
6,Ayesha Khan,The Falcon,PK,1993-04-19,Right Hand,2187.679330701874,39,0.23076923076923078,9.03,10.46,-1.43,4,10,154.8,1.28,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}"
7,Emma Johnson,Turbo,US,2001-08-09,Right Hand,2209.410965433024,118,0.5677966101694916,9.85,9.45,0.4,8,6,156.7,1.69,"{'Sovereign Cup': 2, 'Grand Invitational': 2, 'World Championship': 1, 'Dominion Open': 1}","{'Sovereign Cup': 0, 'Grand Invitational': 1, 'World Championship': 0, 'Dominion Open': 0}"
8,Lucas Silva,The Shark,BR,1994-10-30,Right Hand,2209.74553925994,69,0.463768115942029,9.32,9.71,-0.39,5,5,155.1,1.45,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 1}"
9,Anika Patel,The Ace,IN,1990-12-11,Left Hand,2208.96498066311,71,0.4647887323943662,9.49,9.82,-0.33,4,6,157.9,1.86,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}"
10,Omar Al-Farsi,Big O,OM,1995-01-06,Right Hand,2271.8489392966026,118,0.576271186440678,9.91,9.36,0.55,6,4,158.8,1.64,"{'Sovereign Cup': 0, 'Grand Invitational': 1, 'World Championship': 1, 'Dominion Open': 1}","{'Sovereign Cup': 1, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}"
11,Freya Nielsen,Lightning,DK,1996-09-03,Right Hand,2242.490221677594,95,0.5157894736842106,9.95,9.75,0.2,5,4,155.8,1.47,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 1, 'Dominion Open': 0}"
12,Noah Müller,The Tiger,DE,1991-06-25,Right Hand,2264.7019792411666,141,0.6595744680851063,9.89,8.99,0.9,17,4,158.6,1.55,"{'Sovereign Cup': 2, 'Grand Invitational': 4, 'World Championship': 2, 'Dominion Open': 2}","{'Sovereign Cup': 0, 'Grand Invitational': 1, 'World Championship': 0, 'Dominion Open': 2}"
13,Sofia Rossi,The Jet,IT,1997-03-18,Right Hand,2309.8859305953915,99,0.5454545454545454,9.8,9.6,0.2,4,5,156.5,2.05,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 1, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}"
14,Yuki Nakamura,The Wizard,JP,1994-12-07,Left Hand,2213.7047464430993,63,0.3968253968253968,9.51,10.02,-0.51,4,6,157.5,1.73,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}"
15,Ines Lopes,The Flash,PT,1992-05-12,Right Hand,2229.146720189881,50,0.38,9.14,9.74,-0.6,4,5,152.8,1.62,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}"
16,Jack Thompson,The Champ,US,1998-04-15,Right Hand,2277.728910810933,115,0.6,9.88,9.57,0.31,7,4,156.2,1.63,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 1, 'Grand Invitational': 0, 'World Championship': 1, 'Dominion Open': 2}"
